"nr","cod LMI","val","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","adresa","latitudine","longitudine","cota","cod postal","stare generală","program","tipul monumentului","datare","tipul patrimoniului","observatii"
809,"CJ-II-m-B-07332","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Katona","Bd. Eroilor 20",46.7698,23.593935,345,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
810,"CJ-II-m-B-07333","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 21",46.770058,23.593165,345,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
811,"CJ-II-m-B-07334","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fosta casă a breslei cizmarilor","Bd. Eroilor 23-25",46.770112,23.593384,344,400129,"Stare medie","Clădire financiar-comerț",,"sec. XVI - XIX","Patrimoniu reprezentativ",
812,"CJ-II-m-B-07335","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 27",46.77017,23.593589,344,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
813,"CJ-II-m-B-07336","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 29",46.770186,23.593721,344,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
814,"CJ-II-m-B-07337","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 31",46.770187,23.593849,344,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XX","Patrimoniu domestic urban",
816,"CJ-II-m-B-07339","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 33",46.770272,23.594164,344,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
817,"CJ-II-m-B-07340","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 37",46.770323,23.59455,344,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XV - XIX","Patrimoniu domestic urban",
818,"CJ-II-m-B-07341","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 38",46.77015,23.595286,345,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1920,"Patrimoniu domestic urban",
819,"CJ-II-m-B-07342","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Bd. Eroilor 42",46.770214,23.595555,345,400129,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XX","Patrimoniu domestic urban",
875,"CJ-II-m-B-07343","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. luliu Maniu 40, Str.Baba Novac 4",46.77127,23.595395,345,400095,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
820,"CJ-II-m-B-07344","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Fortăreței 8",46.76706,23.588701,351,400091,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI","Patrimoniu domestic urban",
821,"CJ-II-m-B-07345","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Gara Cluj-Napoca","Piața Gării 1",46.784369,23.586346,338,400201,"Stare bună","Clădire pentru transport (gară, autogară ș.a.)",,1870,"Patrimoniul transporturilor",
822,"CJ-II-m-B-07346","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Berde","Str. Horea 1",46.774444,23.58713,338,400174,"Stare medie","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,"1889 -1900","Patrimoniu domestic urban","În curs de restaurare."
823,"CJ-II-m-B-07347","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Elian","Str. Horea 2",46.774776,23.587682,338,400038,"Stare medie","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,1891,"Patrimoniu domestic urban",
824,"CJ-II-m-B-07348","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa de Comerț și Industrie","Str. Horea 3",46.774586,23.586607,340,400174,"Stare bună","Clădire financiar-comerț",,1903,"Patrimoniu reprezentativ",
825,"CJ-II-m-B-07349","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Urania","Str. Horea 4-6",46.775101,23.587541,339,400038,"Stare medie","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,1908,"Patrimoniu reprezentativ",
826,"CJ-II-m-B-07350","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Horea 5",46.775074,23.586984,339,400174,"Stare medie","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,1910,"Patrimoniu reprezentativ",
827,"CJ-II-m-B-07351","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Horea 19",46.776867,23.586817,341,400174,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","Patrimoniu domestic urban",
828,"CJ-II-m-B-07352","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Facultatea de Filologie","Str. Horea 31",46.778352,23.586541,342,400202,"Stare medie","Clădire pentru învățământ",,1905,"Patrimoniu reprezentativ",
829,"CJ-II-m-B-07353","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Horea 35",46.779051,23.586924,341,400202,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1900,"Patrimoniu domestic urban",
831,"CJ-II-m-B-07354","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Catedrala Arhiepiscopiei ortodoxe","Piața Iancu Avram",46.771868,23.596365,347,400098,"Stare medie","Clădire de cult","Catedrală","1923 - 1936","Patrimoniu religios","În curs de restaurare."
837,"CJ-II-m-B-07356","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Bogdanffy","Str. Iancu Avram 1",46.76654,23.587381,355,400089,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban","În curs de restaurare."
833,"CJ-II-m-B-07357","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Piața Iancu Avram 14",46.772942,23.595911,341,400116,"Stare medie","Clădire pentru învățământ",,"sec. XIX","Patrimoniu religios","Piața Iancu Avram nr. 14-15 -Colegiul Universitar Reformat Apafi Mihály."
834,"CJ-II-m-B-07358","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Sediul Direcției regionale CFR","Piața Iancu Avram 16",46.772522,23.596767,343,400116,"Stare medie","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sf. sec. XIX","Patrimoniul transporturilor","Piața Iancu Avram 17"
835,"CJ-II-m-B-07359","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Arhiepiscopia ortodoxă a Vadului, Feleacului și Clujului","Piața Iancu Avram 18A",46.771915,23.597213,344,400116,"Stare medie","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XIX","Patrimoniu religios",
836,"CJ-II-m-B-07360","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Administrația Financiară","Piața Iancu Avram 19 și str. Dorobanților 1",46.771357,23.597535,344,400116,"Stare medie","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XIX","Patrimoniu reprezentativ",
839,"CJ-II-m-B-07361","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Iancu Avram 10-12",46.766219,23.589092,355,400089,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
841,"CJ-II-m-B-07362","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Tipografia Liceului reformat (zid de incintă medievală pe limita de parcelă)","Str. Iancu Avram 13-15",46.766489,23.591121,355,400083,"Stare medie","Clădire pentru învățământ",,"sec. XIX","Patrimoniu reprezentativ",
842,"CJ-II-m-B-07363","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Iancu Avram 16-18",46.766152,23.589969,355,400089,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1938,"Patrimoniu domestic urban","Str. Iancu Avram 18."
847,"CJ-II-m-B-07364","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă (zid de incintă medievală pe limita de parcelă)","Str. Iancu Avram 27-29, Calea Dorobanților 19, Str. Kogălniceanu Mihail",46.767237,23.594584,350,400083,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban","Str. Iancu Avram 27-29, Str. Kovács Dezső, Str. Kogălniceanu Mihail"
844,"CJ-II-m-B-07365","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă, fost hotel Biazini","Str. Iancu Avram 20",46.766083,23.590491,355,400089,"Stare medie","Clădire pentru turism",,"sec. XIX","Patrimoniu reprezentativ",
845,"CJ-II-m-B-07366","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Iancu Avram 21",46.766698,23.592431,352,400083,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
846,"CJ-II-m-B-07367","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Iancu Avram 23",46.76677,23.592648,351,400083,"Colaps","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","înc. sec. XIX","Patrimoniu domestic urban","Nu mai există."
848,"CJ-II-m-B-07368","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Isac Emil 4",46.769752,23.585305,349,400023,"Stare foarte bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XX","Patrimoniu domestic urban",
850,"CJ-II-m-B-07369","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă cu elemente de decorațiune interioară în stil Secession","Str. Isac Emil 14",46.771237,23.584902,344,400023,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1904,"Patrimoniu domestic urban",
851,"CJ-II-m-B-07370","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Universitatea ""Babeș Bolyai""","Str. Kogălniceanu Mihail 1",46.767642,23.59131,354,400084,"Stare bună","Clădire pentru învățământ",,"1893 - 1903","Patrimoniu reprezentativ",
853,"CJ-II-m-B-07372","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă (zid incinta medievală pe limita de parcelă)","Str. Kogălniceanu Mihail 4",46.767317,23.592035,353,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1789 -1800","Patrimoniu domestic urban",
854,"CJ-II-m-B-07373","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Kogălniceanu Mihail 5",46.767788,23.592934,349,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1789 -1800","Patrimoniu domestic urban",
855,"CJ-II-m-B-07374","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă (zid de incintă medievală pe limita de parcelă)","Str. Kogălniceanu Mihail 6",46.767401,23.592447,351,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
857,"CJ-II-m-B-07376","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Liceul ""Emil Racoviță""","Str. Kogălniceanu Mihail 9-11",46.768018,23.594139,348,400084,"Stare medie","Clădire pentru învățământ",,"sec. XVI - XIX","Patrimoniu domestic urban",
858,"CJ-II-m-B-07377","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Arhivele Statului Cluj-Napoca (zid de incintă medievală pe limita de parcelă)","Str. Kogălniceanu Mihail 10",46.76759,23.593212,348,400084,"Stare medie","Clădire cu destinație specială (poliție, S.R.I., armată ș.a.)",,"sec. XVIII","Patrimoniu reprezentativ",
866,"CJ-II-m-B-07378.04","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Kogălniceanu Mihail 19",46.768129,23.594679,348,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802","Patrimoniu domestic urban",
861,"CJ-II-m-B-07379","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Colegiul reformat, azi Liceul Ady Șincai","Str. Kogălniceanu Mihail 14",46.767888,23.594778,348,400084,"Stare medie","Clădire pentru învățământ",,"sec. XVII","Patrimoniu reprezentativ",
865,"CJ-II-m-B-07381","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Tipografia Colegiului reformat","Str. Kogălniceanu Mihail 18",46.768263,23.596716,344,400084,"Stare medie","Clădire pentru învățământ",,"sec. XVIII","Patrimoniu reprezentativ",
867,"CJ-II-m-B-07382","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa parohială a bisericii reformate","Str. Kogălniceanu Mihail 23",46.76848,23.595738,346,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1751,"Patrimoniu domestic urban",
871,"CJ-II-m-B-07384","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Maniu iuliu 8 și str.Bolyai János 6",46.770485,23.592052,347,400095,"Stare foarte bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX","Patrimoniu domestic urban",
872,"CJ-II-m-B-07385","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Maniu luliu 9",46.770736,23.592227,346,400095,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
873,"CJ-II-m-B-07386","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa în care s-a născut Carol Popp de Szathmary","Str. Maniu luliu 17",46.77099,23.593214,342,400095,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
874,"CJ-II-m-B-07387","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Maniu luliu 34",46.771078,23.594563,344,400095,"Stare foarte bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
877,"CJ-II-m-B-07389","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Matei Corvin 1 și str. Memorandumului 2",46.770309,23.588081,347,400112,"Stare foarte bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
878,"CJ-II-m-B-07390","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Matei Corvin 2 și Piața Unirii 18",46.770388,23.588349,346,400112,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XX","Patrimoniu domestic urban","Dublă înregistrare -v. CJ-II-m-B-07486"
879,"CJ-II-m-B-07391","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Matei Corvin 3",46.77078,23.587689,346,400112,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu reprezentativ",
880,"CJ-II-m-B-07392","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa principelui Transilvaniei Ștefan Bocskay, azi Universitatea ""Sapientia"" (fragmente din zidul incintei medieval în subsol)","Str. Matei Corvin 4",46.770911,23.587896,346,400112,"Stare foarte bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu reprezentativ",
882,"CJ-II-m-B-07394","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Vama veche","Str. Mănășturului 1",46.762869,23.572495,352,400372,"Stare medie","Clădire cu destinație specială (poliție, S.R.I., armată ș.a.)",,1748,"Patrimoniul administrativ","Calea Mănăștur nr. 1."
883,"CJ-II-m-B-07395","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Mănăstirea iezuită","Str. Mănășturului 9",46.762015,23.570149,355,400372,"Stare medie","Clădire de cult","Mănăstire","sec. XVI","Patrimoniu religios","Calea Mănăștur nr. 9."
885,"CJ-II-m-B-07397","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Banca ""Alpha""","Str. Memorandumului 1",46.77002,23.588292,347,400114,"Stare bună","Clădire financiar-comerț",,1893,"Patrimoniu reprezentativ",
886,"CJ-II-m-B-07399","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 6",46.770088,23.587663,347,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
887,"CJ-II-m-B-07400","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 7",46.769776,23.58762,348,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XX","Patrimoniu domestic urban",
888,"CJ-II-m-B-07401","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 8",46.770021,23.587473,348,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1846,"Patrimoniu domestic urban",
889,"CJ-II-m-B-07402","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 11-13 și str. Rațiu Ion 2, str. Memorandumului 11 -13",46.769572,23.587283,349,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX","Patrimoniu domestic urban",
890,"CJ-II-m-B-07403","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Sediul fostei Casine române, azi locuință","Str. Memorandumului 12",46.76982,23.587027,349,400114,"Stare medie","Clădire cu alte funcțiuni",,"sec. XVIII","Patrimoniu reprezentativ",
891,"CJ-II-m-B-07404","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 15",46.769492,23.587108,349,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XVII","Patrimoniu domestic urban",
892,"CJ-II-m-B-07405","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 17",46.769419,23.586992,349,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
893,"CJ-II-m-B-07406","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 19",46.769361,23.586873,350,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
894,"CJ-II-m-B-07407","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa în care s-a judecat procesul memorandiștilor, azi Muzeul Etnografic al Transilvaniei ('""Reduta"")","Str. Memorandumului 21",46.769254,23.586609,350,400114,"Stare bună","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"1810-1812","Patrimoniu reprezentativ",
895,"CJ-II-m-B-07408","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă, azi Liceul economic","Str. Memorandumului 22",46.76952,23.586302,350,400114,"Stare bună","Clădire pentru învățământ",,1788,"Patrimoniu reprezentativ","Școala Ioan Bob."
896,"CJ-II-m-B-07409","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Memorandumului 23",46.769431,23.586085,350,400114,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1740,"Patrimoniu domestic urban",
897,"CJ-II-m-B-07410","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Micu Klein I. 6",46.767589,23.589205,350,400087,"Stare foarte bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XVIII","Patrimoniu domestic urban",
898,"CJ-II-m-B-07411","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Micu Klein I. 12",46.767369,23.588221,351,400087,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
899,"CJ-II-m-B-07412","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Micu Klein I. 15",46.76716,23.588183,351,400087,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX","Patrimoniu domestic urban",
900,"CJ-II-m-B-07413","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Micu Klein I. 17",46.767185,23.588038,351,400087,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
901,"CJ-II-m-B-07414","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Str. Micu Samuil 8",46.768194,23.586585,351,400014,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX","Patrimoniu domestic urban","În curs de restaurare."
902,"CJ-II-m-B-07416","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Prefectura județului Cluj","Calea Moților 1-3",46.768379,23.584724,350,400001,"Stare bună","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XIX","Patrimoniul administrativ","Primăria municipiului Cluj-Napoca."
903,"CJ-II-m-B-07417","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Calea Moților 4",46.768959,23.584884,350,400003,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban","În curs de restaurare."
904,"CJ-II-m-B-07418","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Calea Moților 8",46.768756,23.584552,349,400003,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
905,"CJ-II-m-B-07419","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Calea Moților 24",46.767747,23.582676,344,400003,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1832,"Patrimoniu domestic urban",
906,"CJ-II-m-B-07420","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Calea Moților 27",46.767217,23.582275,344,400001,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
907,"CJ-II-m-B-07421","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Calea Moților 29",46.767129,23.582118,344,400001,"Stare medie","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XIX","Patrimoniu domestic urban",
908,"CJ-II-m-B-07422","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa în care a locuit Ilie Măcelaru","Calea Moților 32",46.767254,23.581686,344,400003,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban","Integrată în parterul unei clinici private."
909,"CJ-II-m-B-07423","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Calea Moților 54",46.76651,23.580022,344,400370,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX","Patrimoniu domestic urban",
910,"CJ-II-m-B-07424","B",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă","Calea Moților 69",46.765667,23.578582,346,400370,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
